location,date,cumul_deaths,deaths,1_day_cumul_mean,1_day_cumul_lower,1_day_cumul_upper,1_day_mean,1_day_lower,1_day_upper,2_day_cumul_mean,2_day_cumul_lower,2_day_cumul_upper,2_day_mean,2_day_lower,2_day_upper,3_day_cumul_mean,3_day_cumul_lower,3_day_cumul_upper,3_day_mean,3_day_lower,3_day_upper,4_day_cumul_mean,4_day_cumul_lower,4_day_cumul_upper,4_day_mean,4_day_lower,4_day_upper,5_day_cumul_mean,5_day_cumul_lower,5_day_cumul_upper,5_day_mean,5_day_lower,5_day_upper,6_day_cumul_mean,6_day_cumul_lower,6_day_cumul_upper,6_day_mean,6_day_lower,6_day_upper,7_day_cumul_mean,7_day_cumul_lower,7_day_cumul_upper,7_day_mean,7_day_lower,7_day_upper,8_day_cumul_mean,8_day_cumul_lower,8_day_cumul_upper,8_day_mean,8_day_lower,8_day_upper,9_day_cumul_mean,9_day_cumul_lower,9_day_cumul_upper,9_day_mean,9_day_lower,9_day_upper,10_day_cumul_mean,10_day_cumul_lower,10_day_cumul_upper,10_day_mean,10_day_lower,10_day_upper,14_day_cumul_mean,14_day_cumul_lower,14_day_cumul_upper,14_day_mean,14_day_lower,14_day_upper,21_day_cumul_mean,21_day_cumul_lower,21_day_cumul_upper,21_day_mean,21_day_lower,21_day_upper
Alabama,2020-04-01,35,12,52.721000000000004,50.0,55.0,17.570999999999998,16.0,19.0,77.467,71.0,83.0,24.746,21.0,28.0,111.575,99.975,122.0,34.108000000000004,28.0,39.0,157.498,135.975,176.0,45.923,36.0,54.0,217.886,181.95,248.0,60.388000000000005,44.0,72.0,295.518,235.0,343.0,77.632,52.0,95.0,393.046,294.975,466.0,97.52799999999999,59.0,123.0,512.802,358.925,620.025,119.756,64.0,156.0,656.6239999999999,423.975,814.025,143.822,67.0,194.0,825.564,489.975,1052.025,168.94,66.975,236.025,1740.953,707.725,2475.025,261.855,41.0,427.0,3787.0879999999997,838.875,6159.175,278.2,5.0,533.0
Alaska,2020-04-01,8,5,10.4,7.0,14.025,1.8459999999999999,1.0,3.0,12.478,8.0,17.025,2.0780000000000003,1.0,3.0,14.818,10.0,21.0,2.34,2.0,3.0,17.44,12.0,25.0,2.622,2.0,4.0,20.352,14.0,29.0,2.912,2.0,4.0,23.539,16.0,33.0,3.187,2.0,5.0,27.004,18.0,38.0,3.465,2.0,5.0,30.73,20.0,43.0,3.7260000000000004,2.0,6.0,34.681999999999995,22.0,49.025,3.952,2.0,6.0,38.835,24.0,56.0,4.1530000000000005,2.0,7.0,56.797,35.975,86.025,4.624,3.0,8.0,87.99700000000001,53.95,141.025,4.137,2.0,8.0
Arizona,2020-04-01,29,5,34.994,35.0,35.0,5.99,6.0,6.0,41.871,41.0,43.0,6.877000000000001,6.0,8.0,49.611999999999995,48.0,52.0,7.7410000000000005,7.0,9.0,58.446999999999996,56.0,62.0,8.835,8.0,10.0,68.556,65.0,74.0,10.109,9.0,12.0,80.069,75.0,88.0,11.513,10.0,14.0,93.075,86.0,104.0,13.005999999999998,11.0,16.0,107.68700000000001,98.0,123.0,14.612,12.0,19.0,124.053,111.0,144.025,16.366,13.0,22.0,142.151,126.0,169.0,18.098,15.0,25.0,232.644,193.0,302.0,25.373,18.0,38.0,457.62300000000005,331.0,668.0,36.524,20.0,62.0
Arkansas,2020-04-01,10,2,12.097999999999999,12.0,13.0,2.095,2.0,3.0,14.977,14.0,16.0,2.8789999999999996,2.0,3.0,18.078,17.0,20.0,3.1010000000000004,3.0,4.0,21.814,20.0,24.0,3.736,3.0,4.0,26.054000000000002,24.0,29.0,4.24,4.0,5.0,30.991,28.0,35.0,4.937,4.0,6.0,36.648,33.0,42.0,5.657,5.0,7.0,43.113,38.0,50.0,6.465,5.0,8.0,50.456,44.0,59.0,7.343,6.0,9.0,58.788000000000004,51.0,70.0,8.332,6.0,11.0,102.75299999999999,83.0,129.0,12.575,9.0,17.0,218.438,159.0,299.0,19.070999999999998,12.0,29.0
California,2020-04-01,204,31,239.352,227.0,247.0,35.285,28.0,40.0,279.118,258.0,294.0,39.766,31.0,47.0,323.643,293.0,348.0,44.525,35.0,54.0,373.173,331.0,411.0,49.53,38.0,63.0,427.89099999999996,373.0,484.0,54.718,42.0,73.0,487.963,419.0,568.0,60.071999999999996,46.0,84.0,552.991,469.975,662.025,65.028,50.975,94.025,622.901,524.975,767.05,69.91,55.0,106.0,697.556,584.975,884.075,74.655,58.0,117.025,776.768,649.975,1013.075,79.212,59.0,130.025,1134.954,921.0,1663.2,95.259,54.0,182.0,1882.36,1210.95,3262.225,113.71600000000001,29.0,254.025
Colorado,2020-04-01,86,17,107.06700000000001,105.0,109.0,20.717,20.0,22.0,131.55700000000002,128.0,135.0,24.49,23.0,26.0,160.138,155.0,165.0,28.581,27.0,30.0,193.054,186.0,200.0,32.916,31.0,35.0,230.52,221.0,240.0,37.466,35.0,40.0,272.903,261.0,286.0,42.383,39.0,46.0,320.394,304.0,338.0,47.49100000000001,43.0,52.0,373.051,352.0,396.025,52.657,47.0,58.025,430.84,404.0,461.0,57.788999999999994,51.0,65.0,493.649,459.975,532.0,62.809,55.0,72.0,787.961,704.0,881.05,79.079,63.0,99.0,1370.231,1127.65,1696.025,80.602,51.0,127.025
Connecticut,2020-04-01,82,13,98.18,96.0,100.0,15.591,14.0,17.0,115.95700000000001,112.0,119.0,17.777,16.0,19.0,136.093,130.0,141.0,20.136,18.0,22.0,158.851,151.0,166.0,22.758000000000003,21.0,25.0,184.449,174.0,194.0,25.598000000000003,23.0,28.0,212.555,199.0,226.0,28.105999999999998,25.0,31.0,243.15400000000002,227.0,260.0,30.599,27.0,35.0,276.157,255.0,298.0,33.003,28.0,38.0,311.39,284.975,339.0,35.233000000000004,29.0,41.0,348.702,315.0,383.0,37.312,30.0,44.0,513.075,434.975,582.0,42.73,29.0,53.0,804.3919999999999,592.975,958.025,38.271,17.0,51.0
Delaware,2020-04-01,12,2,16.123,14.0,17.0,3.322,2.0,4.0,19.939,16.0,22.0,3.8160000000000003,2.0,5.0,24.316999999999997,18.0,28.0,4.378,2.0,6.0,29.291999999999998,21.0,35.0,4.975,3.0,7.0,34.847,24.0,43.0,5.555,3.0,8.0,41.032,28.0,52.0,6.185,4.0,9.0,47.825,32.0,62.0,6.792999999999999,4.0,10.0,55.227,36.0,72.0,7.402,4.0,10.0,63.195,41.0,83.0,7.968,5.0,12.0,71.736,46.0,95.0,8.541,5.0,13.0,106.052,65.0,148.0,8.299,3.0,13.025,148.509,79.975,224.0,4.115,1.0,11.0
District of Columbia,2020-04-01,11,2,13.991,13.0,15.0,2.9330000000000003,2.0,3.0,17.097,16.0,19.0,3.1060000000000003,3.0,4.0,20.971999999999998,19.0,23.0,3.875,3.0,4.0,25.191999999999997,23.0,28.0,4.22,4.0,5.0,30.128,27.0,34.0,4.936,4.0,6.0,35.545,31.0,40.025,5.417000000000001,4.0,7.0,41.633,36.0,47.025,6.087999999999999,5.0,7.0,48.266000000000005,41.0,55.025,6.632999999999999,5.0,8.0,55.486000000000004,47.0,64.0,7.22,6.0,8.0,63.211000000000006,54.0,73.0,7.725,6.0,9.0,97.97,83.975,111.0,9.097999999999999,8.0,10.0,159.129,141.0,179.0,7.803,5.0,10.0
Florida,2020-04-01,101,16,121.205,117.0,127.0,19.465,17.0,23.0,143.689,135.975,154.0,22.484,18.975,27.0,169.467,155.975,186.0,25.778000000000002,21.0,32.0,198.84099999999998,178.0,224.025,29.374000000000002,23.0,38.0,232.06799999999998,203.0,269.0,33.227,25.0,44.025,269.376,230.975,320.025,37.308,27.0,52.0,311.32,259.975,380.05,41.943999999999996,29.0,61.0,358.19800000000004,291.975,449.075,46.878,31.0,70.0,410.337,326.0,529.1,52.138999999999996,34.0,81.0,468.05800000000005,362.0,621.125,57.721000000000004,36.0,92.0,759.909,525.975,1128.05,82.573,44.0,151.0,1526.809,867.975,2728.35,129.571,51.0,293.05
