location_name,date,cumul_deaths,deaths,1_day_cumul_mean,1_day_cumul_lower,1_day_cumul_upper,1_day_mean,1_day_lower,1_day_upper,2_day_cumul_mean,2_day_cumul_lower,2_day_cumul_upper,2_day_mean,2_day_lower,2_day_upper,3_day_cumul_mean,3_day_cumul_lower,3_day_cumul_upper,3_day_mean,3_day_lower,3_day_upper,4_day_cumul_mean,4_day_cumul_lower,4_day_cumul_upper,4_day_mean,4_day_lower,4_day_upper,5_day_cumul_mean,5_day_cumul_lower,5_day_cumul_upper,5_day_mean,5_day_lower,5_day_upper,6_day_cumul_mean,6_day_cumul_lower,6_day_cumul_upper,6_day_mean,6_day_lower,6_day_upper,7_day_cumul_mean,7_day_cumul_lower,7_day_cumul_upper,7_day_mean,7_day_lower,7_day_upper,8_day_cumul_mean,8_day_cumul_lower,8_day_cumul_upper,8_day_mean,8_day_lower,8_day_upper,9_day_cumul_mean,9_day_cumul_lower,9_day_cumul_upper,9_day_mean,9_day_lower,9_day_upper,10_day_cumul_mean,10_day_cumul_lower,10_day_cumul_upper,10_day_mean,10_day_lower,10_day_upper,14_day_cumul_mean,14_day_cumul_lower,14_day_cumul_upper,14_day_mean,14_day_lower,14_day_upper,21_day_cumul_mean,21_day_cumul_lower,21_day_cumul_upper,21_day_mean,21_day_lower,21_day_upper
Abruzzo,2020-04-09,194,15,195.24099999999999,194.0,198.0,1.2409999999999999,0.0,4.0,197.313,195.0,202.0,2.072,1.0,4.0,198.865,196.0,205.0,1.5519999999999998,1.0,3.0,200.081,197.0,207.025,1.216,1.0,2.0,201.02,197.0,209.0,0.9390000000000001,0.0,2.0,201.58700000000002,197.0,210.0,0.5670000000000001,0.0,1.0,201.801,197.0,211.0,0.214,0.0,1.0,201.84599999999998,197.0,212.0,0.045,0.0,1.0,201.85,197.0,212.0,0.004,0.0,0.0,201.85,197.0,212.0,0.0,0.0,0.0,201.85,197.0,212.0,0.0,0.0,0.0,201.85,197.0,212.0,0.0,0.0,0.0
Alabama,2020-04-09,70,4,82.08,72.0,105.0,12.08,2.0,35.0,93.14299999999999,73.0,140.0,11.062999999999999,1.0,35.0,104.975,74.0,176.025,11.832,1.0,37.025,117.625,75.0,215.075,12.65,1.0,39.0,130.99,76.0,255.075,13.365,1.0,40.0,145.02700000000002,78.0,295.0,14.037,2.0,43.0,159.644,80.0,338.05,14.617,2.0,45.05,174.733,82.0,380.1,15.089,2.0,46.0,190.167,85.0,426.05,15.434000000000001,3.0,49.0,205.80599999999998,88.0,482.05,15.639000000000001,3.0,50.025,268.077,101.975,673.774999999999,15.249,3.0,54.025,357.905,119.0,1021.125,10.504000000000001,2.0,41.05
Alaska,2020-04-09,7,0,8.12,7.0,13.025,1.12,0.0,6.024999999999981,9.16,7.0,19.0,1.04,0.0,6.0,10.319,7.0,26.0,1.159,0.0,6.0,11.614,7.0,33.025,1.295,0.0,7.0,12.999,7.0,41.0,1.385,0.0,7.0,14.474,7.0,48.0,1.475,0.0,7.0,16.019000000000002,7.0,55.025,1.545,0.0,8.0,17.623,7.0,62.05,1.604,0.0,8.0,19.267,7.0,69.07499999999989,1.6440000000000001,0.0,7.024999999999981,20.936,7.0,76.09999999999991,1.669,0.0,8.0,27.427,7.0,112.0,1.556,0.0,7.0,35.689,7.0,142.075,0.8240000000000001,0.0,4.02499999999998
Andalucia,2020-04-09,683,31,713.821,674.0,801.1,30.055,10.0,79.0,740.926,684.0,863.025,27.105,8.0,67.0,765.3430000000001,693.0,925.125,24.416999999999998,8.0,63.0,785.977,701.975,981.025,20.634,7.0,52.0,803.461,709.0,1015.075,17.484,6.0,43.025,818.4810000000001,715.0,1045.025,15.02,5.0,38.0,830.705,719.975,1071.0,12.224,4.0,27.0,840.6489999999999,723.0,1089.075,9.943999999999999,4.0,24.0,848.4939999999999,727.0,1103.225,7.845,3.0,20.0,854.9760000000001,732.0,1114.325,6.482,3.0,14.0,868.8389999999999,738.975,1139.5,2.127,1.0,5.0,873.1310000000001,740.975,1147.625,0.0,0.0,0.0
Aragon,2020-04-09,433,48,487.325,441.0,566.0,53.343999999999994,27.0,98.0,543.839,471.0,660.075,56.513999999999996,27.0,103.025,601.42,500.975,764.05,57.581,27.0,106.025,660.8639999999999,533.0,883.05,59.443999999999996,30.975,116.05,723.188,567.0,980.125,62.324,31.0,123.025,785.975,608.0,1097.05,62.787,34.0,121.025,849.079,647.95,1229.025,63.104,32.0,127.0,913.061,685.975,1320.05,63.982,35.0,119.05,975.632,719.0,1431.075,62.571000000000005,34.975,116.025,1037.3239999999998,760.9,1536.025,61.692,35.0,108.05,1266.377,910.95,1901.025,53.611999999999995,34.0,92.0,1568.8,1138.0,2346.275,34.477,23.0,50.0
Arizona,2020-04-09,89,9,101.175,89.0,127.025,12.175,0.0,38.025,114.962,90.0,169.025,13.787,1.0,42.0,130.067,91.0,214.025,15.105,1.0,45.0,146.535,92.0,262.025,16.468,1.0,48.0,164.31599999999997,94.0,315.0,17.781,2.0,50.0,183.426,96.975,367.025,19.11,2.0,52.0,203.81,99.975,419.05,20.384,3.0,55.025,225.385,103.975,470.175,21.575,4.0,56.025,248.063,108.0,531.025,22.678,5.0,58.0,271.764,114.0,592.05,23.701,6.0,62.025,374.44599999999997,139.0,853.1,26.605999999999998,6.0,77.05,565.318,179.0,1459.375,26.881,5.0,90.025
Arkansas,2020-04-09,21,3,22.886,21.0,28.0,1.886,0.0,7.0,25.223000000000003,21.0,36.0,2.3369999999999997,0.0,8.0,27.748,21.0,45.0,2.525,0.0,8.0,30.5,21.0,53.0,2.752,0.0,9.0,33.52,21.0,63.0,3.02,0.0,10.0,36.759,21.0,73.0,3.239,0.0,10.0,40.205,22.0,84.0,3.446,1.0,11.0,43.863,23.0,96.0,3.658,1.0,11.025,47.736000000000004,24.0,108.025,3.873,1.0,12.0,51.778,25.0,120.0,4.042,1.0,12.0,69.574,29.975,173.0,4.655,1.0,14.0,104.615,37.0,275.025,5.1339999999999995,1.0,17.0
Asturias,2020-04-09,112,2,114.57799999999999,111.0,124.025,1.892,0.0,6.024999999999981,116.125,111.0,129.025,1.547,0.0,5.0,117.414,111.0,133.025,1.2890000000000001,0.0,4.0,118.535,111.0,136.025,1.121,0.0,3.0,119.49799999999999,111.0,138.025,0.963,0.0,2.0,120.322,111.0,140.025,0.8240000000000001,0.0,2.0,121.01299999999999,111.0,141.025,0.691,0.0,1.02499999999998,121.57600000000001,111.0,142.025,0.563,0.0,1.0,121.995,111.0,143.025,0.419,0.0,1.0,122.264,111.0,144.025,0.26899999999999996,0.0,1.0,122.48299999999999,111.0,145.0,0.005,0.0,0.0,122.48299999999999,111.0,145.0,0.0,0.0,0.0
Austria,2020-04-09,295,22,311.51599999999996,301.0,332.0,16.516,6.0,37.0,326.235,307.0,364.025,14.719000000000001,5.0,34.0,339.298,312.0,396.0,13.062999999999999,4.0,30.0,350.471,317.0,423.0,11.173,4.0,25.0,360.58,321.0,443.0,10.109,4.0,24.0,369.275,325.0,460.15,8.695,3.0,19.025,376.38800000000003,328.0,482.0,7.1129999999999995,2.975,16.0,382.207,331.0,492.025,5.819,2.0,14.0,386.981,332.975,501.0,4.774,2.0,12.025,390.61699999999996,335.0,507.025,3.636,1.0,9.0,398.42699999999996,339.95,521.05,1.228,1.0,3.0,400.295,340.0,525.025,0.0,0.0,0.0
Baden-Wurttemberg,2020-04-09,519,55,566.0980000000001,535.0,643.075,47.098,16.0,124.075,612.117,552.0,755.1,46.019,13.0,115.0,656.197,575.0,856.025,44.08,15.0,122.0,698.6210000000001,588.975,945.05,42.424,11.0,137.599999999999,736.179,606.0,1021.025,37.558,12.0,109.075,770.68,622.0,1097.05,34.501,10.0,108.35,799.813,634.0,1136.0,29.133000000000003,9.0,101.075,831.052,644.0,1179.125,31.239,9.0,100.2,854.59,658.975,1238.05,23.538,7.0,93.0749999999999,876.038,667.975,1309.375,21.448,6.0,84.025,936.387,700.975,1469.075,11.49,5.0,28.0,973.74,729.975,1505.4,2.215,1.0,3.0
Balearic Islands,2020-04-09,93,4,96.569,91.0,111.0,3.1439999999999997,1.0,9.0,99.149,92.0,115.025,2.58,1.0,8.0,101.156,93.0,121.0,2.0069999999999997,1.0,6.0,102.87799999999999,93.0,125.025,1.722,0.0,5.0,104.265,94.0,127.025,1.3869999999999998,0.0,5.02499999999998,105.36200000000001,94.0,128.025,1.097,0.0,3.0,106.148,94.0,132.05,0.7859999999999999,0.0,2.0,106.695,94.0,134.025,0.547,0.0,2.0,106.99799999999999,94.0,134.025,0.303,0.0,2.0,107.14200000000001,94.975,135.0,0.14400000000000002,0.0,1.02499999999998,107.307,95.0,135.0,0.001,0.0,0.0,107.307,95.0,135.0,0.0,0.0,0.0
Basilicata,2020-04-09,15,1,15.847000000000001,15.0,18.0,0.847,0.0,3.0,16.635,15.0,20.0,0.7879999999999999,0.0,3.0,17.361,15.0,22.0,0.726,0.0,2.0,17.925,15.0,24.0,0.564,0.0,2.0,18.338,15.0,26.0,0.413,0.0,2.0,18.631,15.0,27.0,0.293,0.0,1.0,18.857,15.0,28.0,0.226,0.0,1.0,18.999000000000002,15.0,29.0,0.142,0.0,1.0,19.081,15.0,30.0,0.08199999999999999,0.0,1.0,19.125999999999998,15.0,31.0,0.045,0.0,1.0,19.171,15.0,31.0,0.006,0.0,0.0,19.185,15.0,31.025,0.002,0.0,0.0
Basque Country,2020-04-09,711,22,735.17,705.975,783.05,23.318,9.0,46.025,756.175,714.0,825.05,21.005,9.0,42.0,774.8919999999999,722.0,861.075,18.717,8.0,36.025,791.3539999999999,729.975,892.075,16.462,7.0,31.0,805.673,736.975,919.075,14.319,7.0,27.0,817.957,742.975,942.05,12.284,6.0,22.025,828.408,748.0,961.05,10.450999999999999,5.0,19.0,837.188,752.975,977.025,8.78,4.0,16.0,844.4780000000001,756.975,990.0,7.29,4.0,13.0,850.445,760.0,1000.025,5.9670000000000005,3.0,11.0,864.633,767.975,1023.05,2.421,1.0,4.0,870.887,771.0,1031.1,0.038,0.0,1.0
