,FIPS,county name,state
0,,,
1,01001,Autauga,AL
2,01003,Baldwin,AL
3,01005,Barbour,AL
4,01007,Bibb,AL
5,01009,Blount,AL
6,01011,Bullock,AL
7,01013,Butler,AL
8,01015,Calhoun,AL
9,01017,Chambers,AL
10,01019,Cherokee,AL
11,01021,Chilton,AL
12,01023,Choctaw,AL
13,01025,Clarke,AL
14,01027,Clay,AL
15,01029,Cleburne,AL
16,01031,Coffee,AL
17,01033,Colbert,AL
18,01035,Conecuh,AL
19,01037,Coosa,AL
20,01039,Covington,AL
21,01041,Crenshaw,AL
22,01043,Cullman,AL
23,01045,Dale,AL
24,01047,Dallas,AL
25,01049,De Kalb,AL
26,01051,Elmore,AL
27,01053,Escambia,AL
28,01055,Etowah,AL
29,01057,Fayette,AL
30,01059,Franklin,AL
31,01061,Geneva,AL
32,01063,Greene,AL
33,01065,Hale,AL
34,01067,Henry,AL
35,01069,Houston,AL
36,01071,Jackson,AL
37,01073,Jefferson,AL
38,01075,Lamar,AL
39,01077,Lauderdale,AL
40,01079,Lawrence,AL
41,01081,Lee,AL
42,01083,Limestone,AL
43,01085,Lowndes,AL
44,01087,Macon,AL
45,01089,Madison,AL
46,01091,Marengo,AL
47,01093,Marion,AL
48,01095,Marshall,AL
49,01097,Mobile,AL
50,01099,Monroe,AL
51,01101,Montgomery,AL
52,01103,Morgan,AL
53,01105,Perry,AL
54,01107,Pickens,AL
55,01109,Pike,AL
56,01111,Randolph,AL
57,01113,Russell,AL
58,01115,St Clair,AL
59,01117,Shelby,AL
60,01119,Sumter,AL
61,01121,Talladega,AL
62,01123,Tallapoosa,AL
63,01125,Tuscaloosa,AL
64,01127,Walker,AL
65,01129,Washington,AL
66,01131,Wilcox,AL
67,01133,Winston,AL
68,02013,Aleutians East,AK
69,02016,Aleutians West,AK
70,02020,Anchorage,AK
71,02050,Bethel,AK
72,02060,Bristol Bay,AK
73,02068,Denali,AK
74,02070,Dillingham,AK
75,02090,Fairbanks North Star,AK
76,02100,Haines,AK
77,02110,Juneau,AK
78,02122,Kenai Peninsula,AK
79,02130,Ketchikan Gateway,AK
80,02150,Kodiak Island,AK
81,02164,Lake and Peninsula,AK
82,02170,Matanuska-Susitna,AK
83,02180,Nome,AK
84,02185,North Slope,AK
85,02188,Northwest Arctic,AK
86,02201,Prince of Wales-Outer Ketchikan,AK
87,02220,Sitka,AK
88,02232,Skagway-Hoonah-Angoon,AK
89,02240,Southeast Fairbanks,AK
90,02261,Valdez-Cordova,AK
91,02270,Wade Hampton,AK
92,02280,Wrangell-Petersburg,AK
93,02282,Yakutat,AK
94,02290,Yukon-Koyukuk,AK
95,04001,Apache,AZ
96,04003,Cochise,AZ
97,04005,Coconino,AZ
98,04007,Gila,AZ
99,04009,Graham,AZ
100,04011,Greenlee,AZ
101,04012,La Paz,AZ
102,04013,Maricopa,AZ
103,04015,Mohave,AZ
104,04017,Navajo,AZ
