countyFIPS,STATEFP,COUNTYFP,CountyName,StateName,State,lat,lon,POP_LATITUDE,POP_LONGITUDE,CensusRegionName,CensusDivisionName,Rural-UrbanContinuumCode2013,PopulationEstimate2018,PopTotalMale2017,PopTotalFemale2017,FracMale2017,PopulationEstimate65+2017,PopulationDensityperSqMile2010,CensusPopulation2010,MedianAge2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",3-YrDiabetes2015-17,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,% Adults with Obesity,% Fair or Poor Health,#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",#HospParticipatinginNetwork2017,#Hospitals,#ICU_beds,dem_to_rep_ratio,PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,3-YrMortalityAge<1Year2015-17,3-YrMortalityAge1-4Years2015-17,3-YrMortalityAge5-14Years2015-17,3-YrMortalityAge15-24Years2015-17,3-YrMortalityAge25-34Years2015-17,3-YrMortalityAge35-44Years2015-17,3-YrMortalityAge45-54Years2015-17,3-YrMortalityAge55-64Years2015-17,3-YrMortalityAge65-74Years2015-17,3-YrMortalityAge75-84Years2015-17,3-YrMortalityAge85+Years2015-17,mortality2015-17Estimated,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,SVIPercentile,HPSAShortage,HPSAServedPop,HPSAUnderservedPop,% Uninsured,% Vaccinated,High School Graduation Rate,% Unemployed,% Children in Poverty,% Single-Parent Households,% Severe Housing Problems,Social Association Rate,Mask Never,Mask Rarely,Mask Sometimes,Mask Frequently,Mask Always
1001,1,1,Autauga,AL,Alabama,32.54009148,-86.64564861,32.500389,-86.494165,South,East South Central,2,55601,27007,28497,0.486577544,8392,91.8,54571,37,11439,8046,16,9.9,204.5,56.1,18.08155718,81.79,33.3,20.88298733,324,50,0,1,6,0.326656394,1866,1713,2001,1990,2171,2119,2213,2077,1539,1541,1543,1614,1594,1736,3978,4265,4040,4165,1524,1559,1279,1498,1821,2192,841,1141,159,392,,,,,10,20,44,73,112,143,109,,737519,737504,737497,737500,737503,737512,737500,737495,0.4354,,,,8.721685951,41,90,3.629078861,19.3,26.24267908,14.66346154,12.07120208,0.053,0.074,0.134,0.295,0.444
1003,1,3,Baldwin,AL,Alabama,30.73831437,-87.72627168,30.548923,-87.762381,South,East South Central,3,218022,103225,109403,0.48547228,42413,114.7,182265,41.1,54145,41590,33,8.5,183.2,41.9,17.4890326,54.28,31,17.50913436,2101,536,0,3,51,0.253255217,5614,5544,5832,5767,6076,5850,5930,5670,4793,4656,5183,5064,5317,5392,11620,11933,13047,13874,5943,6580,5728,6284,8558,9245,4379,5153,1176,2057,13,,,23,30,52,125,262,434,546,597,,737519,737504,737497,737500,737503,737512,737500,737495,0.2162,,,,11.33340447,44,86.3615768,3.615382156,13.9,24.13960145,13.56620093,10.20561732,0.083,0.059,0.098,0.323,0.436
1005,1,5,Barbour,AL,Alabama,31.87402989,-85.39732718,31.844036,-85.310038,South,East South Central,6,24881,13335,11935,0.527700831,4757,31,27457,39,6681,4706,,15.7,220.4,49,21.99998453,69.82,41.7,29.59180171,181,12,0,1,5,0.893105977,847,855,826,816,820,779,919,812,1048,746,1212,798,1162,646,2115,1513,2164,1854,910,907,859,940,1067,1171,498,730,129,314,,,,,,,21,44,65,72,68,,737519,737504,737497,737500,737503,737512,737500,737495,0.9959,6.08,5400,18241,12.24279246,37,81.41025641,5.171384211,43.9,56.60342605,14.58333333,7.518796993,0.067,0.121,0.12,0.201,0.491
1007,1,7,Bibb,AL,Alabama,32.99902355,-87.12526047,33.030921,-87.127659,South,East South Central,1,22400,12138,10530,0.535468502,3632,36.8,22915,37.8,5128,3389,,13.3,225.5,57.2,19.11419989,84.49,37.6,19.43972416,145,16,0,1,0,0.278124072,712,666,759,646,771,669,806,737,811,680,987,616,1013,633,1895,1487,1883,1503,734,667,684,650,803,920,370,534,73,206,,,,,,,24,37,62,56,45,,737519,737504,737497,737500,737503,737512,737500,737495,0.6003,2.75,14980,6120,10.20625259,38,83.76383764,3.971827734,27.8,28.68923611,10.4964539,8.381859891,0.02,0.034,0.096,0.278,0.572
1009,1,9,Blount,AL,Alabama,33.99044001,-86.5627114,33.955243,-86.591491,South,East South Central,1,57840,28607,29406,0.493113612,10351,88.9,57322,39,13175,9542,,14.9,224.8,52.8,19.20867197,87.05,33.8,21.74529281,103,18,1,1,6,0.094317337,1805,1811,1936,1944,2113,1971,2139,1894,1577,1530,1735,1701,1730,1711,4022,3903,4068,4017,1810,1884,1700,1882,2391,2688,1102,1450,234,574,,,,10,13,25,49,94,150,182,142,,737519,737504,737497,737500,737503,737512,737500,737495,0.4242,7.21,31850,25233,13.36075949,39,93.46879536,3.511157322,18,28.56182796,10.54801164,8.446382707,0.053,0.114,0.18,0.194,0.459
1011,1,11,Bullock,AL,Alabama,32.10633554,-85.71680363,32.116327,-85.701192,South,East South Central,6,10138,5615,4694,0.544669706,1631,17.5,10914,38.5,2198,1434,,22.4,214.3,54.1,22.89466401,51.49,37.2,30.99910185,196,4,0,1,0,3.096491228,402,340,295,275,337,338,365,361,392,319,500,322,444,289,816,546,972,725,433,335,330,309,393,442,171,255,62,146,,,,,,,,16,32,30,28,,737519,737504,737497,737500,737503,737512,737500,737495,0.8898,2.38,3000,7153,11.44037612,28,70.24793388,4.690117253,68.3,74.78991597,18.14345992,7.760209526,0.031,0.04,0.144,0.286,0.5
1013,1,13,Butler,AL,Alabama,31.75713941,-86.68434696,31.773539,-86.65355,South,East South Central,6,19680,9232,10593,0.465674653,3877,27,20947,40.1,5073,3571,14,16.9,259.5,59,21.76533496,75.09,43.3,27.91067318,330,18,0,1,7,0.76025301,714,658,726,625,750,715,744,647,534,636,578,705,574,670,1091,1286,1401,1579,714,817,628,666,839,990,408,740,137,375,,,,,,12,18,36,49,63,63,,737519,737504,737497,737500,737503,737512,737500,737495,0.8653,1.31,16290,3918,11.18600954,35,81.58995816,4.790217635,36.3,52.71283635,13.15960912,9.079445145,0.102,0.053,0.257,0.137,0.451
1015,1,15,Calhoun,AL,Alabama,33.77624501,-85.82956111,33.72546,-85.819442,South,East South Central,3,114277,55149,59579,0.480693466,19862,195.7,118572,38.2,28487,20142,18,15.6,315.8,44,20.61256038,87.32,38.5,23.10773322,1694,228,0,2,24,0.402921041,3705,3499,3881,3640,3936,3783,4343,4264,4474,4548,3711,3890,3517,3669,7161,7466,8258,8728,3858,4166,3372,3713,4319,5118,2174,3575,467,1337,10,,,20,34,54,124,229,303,354,338,,737519,737504,737497,737500,737503,737512,737500,737495,0.8252,4.24,35160,12712,11.92916752,38,92.36804565,4.652832159,26.5,40.19194475,13.73419126,14.46900495,0.152,0.108,0.13,0.167,0.442
1017,1,17,Chambers,AL,Alabama,32.91633065,-85.3948531,32.860439,-85.266474,South,East South Central,6,33615,16140,17573,0.478747071,6432,57.4,34215,41.5,9276,6342,21,17.5,196.7,45.2,19.39292705,84,40.1,23.9954736,0,28,0,0,0,0.737472906,981,972,1081,964,1134,1103,1168,1130,1003,922,902,985,922,992,2189,2243,2430,2619,1165,1302,1077,1225,1456,1652,666,1161,189,582,,,,,,15,30,72,97,105,114,,737519,737504,737497,737500,737503,737512,737500,737495,0.7382,,,,11.93807681,42,86.23853211,3.908091123,30.7,46.55544369,15.9566787,17.79728888,0.117,0.037,0.15,0.136,0.56
1019,1,19,Cherokee,AL,Alabama,34.19147067,-85.60421986,34.179333,-85.629194,South,East South Central,6,26032,12846,13011,0.496809375,5848,46.9,25989,43.9,7493,5195,,12.2,267.4,47.3,17.49867379,93.04,35,20.6984706,151,14,0,1,0,0.172791243,718,672,735,789,829,801,900,770,643,615,581,624,676,662,1740,1640,2016,2004,964,945,999,1015,1409,1500,559,804,119,260,,,,,,11,30,58,83,95,64,,737519,737504,737497,737500,737503,737512,737500,737495,0.4516,2.75,15855,9610,11.17264992,41,94.9044586,3.570813974,24.7,23.77874929,13,8.5083343,0.135,0.027,0.161,0.158,0.52
