countyFIPS,#Cases_01-22-2020,#Cases_01-23-2020,#Cases_01-24-2020,#Cases_01-25-2020,#Cases_01-26-2020,#Cases_01-27-2020,#Cases_01-28-2020,#Cases_01-29-2020,#Cases_01-30-2020,#Cases_01-31-2020,#Cases_02-01-2020,#Cases_02-02-2020,#Cases_02-03-2020,#Cases_02-04-2020,#Cases_02-05-2020,#Cases_02-06-2020,#Cases_02-07-2020,#Cases_02-08-2020,#Cases_02-09-2020,#Cases_02-10-2020,#Cases_02-11-2020,#Cases_02-12-2020,#Cases_02-13-2020,#Cases_02-14-2020,#Cases_02-15-2020,#Cases_02-16-2020,#Cases_02-17-2020,#Cases_02-18-2020,#Cases_02-19-2020,#Cases_02-20-2020,#Cases_02-21-2020,#Cases_02-22-2020,#Cases_02-23-2020,#Cases_02-24-2020,#Cases_02-25-2020,#Cases_02-26-2020,#Cases_02-27-2020,#Cases_02-28-2020,#Cases_02-29-2020,#Cases_03-01-2020,#Cases_03-02-2020,#Cases_03-03-2020,#Cases_03-04-2020,#Cases_03-05-2020,#Cases_03-06-2020,#Cases_03-07-2020,#Cases_03-08-2020,#Cases_03-09-2020,#Cases_03-10-2020,#Cases_03-11-2020,#Cases_03-12-2020,#Cases_03-13-2020,#Cases_03-14-2020,#Cases_03-15-2020,#Cases_03-16-2020,#Cases_03-17-2020,#Cases_03-18-2020,#Cases_03-19-2020,#Cases_03-20-2020,#Cases_03-21-2020,#Cases_03-22-2020,#Cases_03-23-2020,#Cases_03-24-2020,#Cases_03-25-2020,#Cases_03-26-2020,#Cases_03-27-2020,#Cases_03-28-2020,#Cases_03-29-2020,#Cases_03-30-2020,#Cases_03-31-2020,#Cases_04-01-2020,#Cases_04-02-2020,#Cases_04-03-2020,#Cases_04-04-2020,#Cases_04-05-2020,#Cases_04-06-2020,#Cases_04-07-2020,#Cases_04-08-2020,#Cases_04-09-2020,#Cases_04-10-2020,#Cases_04-11-2020,#Cases_04-12-2020,#Cases_04-13-2020,#Cases_04-14-2020,#Cases_04-15-2020,#Cases_04-16-2020,#Cases_04-17-2020,#Cases_04-18-2020,#Cases_04-19-2020,#Cases_04-20-2020,#Cases_04-21-2020,#Cases_04-22-2020,#Cases_04-23-2020,#Cases_04-24-2020,#Cases_04-25-2020,#Cases_04-26-2020,#Cases_04-27-2020,#Cases_04-28-2020,#Cases_04-29-2020,#Cases_04-30-2020,#Cases_05-01-2020,#Cases_05-02-2020,#Cases_05-03-2020,#Deaths_01-22-2020,#Deaths_01-23-2020,#Deaths_01-24-2020,#Deaths_01-25-2020,#Deaths_01-26-2020,#Deaths_01-27-2020,#Deaths_01-28-2020,#Deaths_01-29-2020,#Deaths_01-30-2020,#Deaths_01-31-2020,#Deaths_02-01-2020,#Deaths_02-02-2020,#Deaths_02-03-2020,#Deaths_02-04-2020,#Deaths_02-05-2020,#Deaths_02-06-2020,#Deaths_02-07-2020,#Deaths_02-08-2020,#Deaths_02-09-2020,#Deaths_02-10-2020,#Deaths_02-11-2020,#Deaths_02-12-2020,#Deaths_02-13-2020,#Deaths_02-14-2020,#Deaths_02-15-2020,#Deaths_02-16-2020,#Deaths_02-17-2020,#Deaths_02-18-2020,#Deaths_02-19-2020,#Deaths_02-20-2020,#Deaths_02-21-2020,#Deaths_02-22-2020,#Deaths_02-23-2020,#Deaths_02-24-2020,#Deaths_02-25-2020,#Deaths_02-26-2020,#Deaths_02-27-2020,#Deaths_02-28-2020,#Deaths_02-29-2020,#Deaths_03-01-2020,#Deaths_03-02-2020,#Deaths_03-03-2020,#Deaths_03-04-2020,#Deaths_03-05-2020,#Deaths_03-06-2020,#Deaths_03-07-2020,#Deaths_03-08-2020,#Deaths_03-09-2020,#Deaths_03-10-2020,#Deaths_03-11-2020,#Deaths_03-12-2020,#Deaths_03-13-2020,#Deaths_03-14-2020,#Deaths_03-15-2020,#Deaths_03-16-2020,#Deaths_03-17-2020,#Deaths_03-18-2020,#Deaths_03-19-2020,#Deaths_03-20-2020,#Deaths_03-21-2020,#Deaths_03-22-2020,#Deaths_03-23-2020,#Deaths_03-24-2020,#Deaths_03-25-2020,#Deaths_03-26-2020,#Deaths_03-27-2020,#Deaths_03-28-2020,#Deaths_03-29-2020,#Deaths_03-30-2020,#Deaths_03-31-2020,#Deaths_04-01-2020,#Deaths_04-02-2020,#Deaths_04-03-2020,#Deaths_04-04-2020,#Deaths_04-05-2020,#Deaths_04-06-2020,#Deaths_04-07-2020,#Deaths_04-08-2020,#Deaths_04-09-2020,#Deaths_04-10-2020,#Deaths_04-11-2020,#Deaths_04-12-2020,#Deaths_04-13-2020,#Deaths_04-14-2020,#Deaths_04-15-2020,#Deaths_04-16-2020,#Deaths_04-17-2020,#Deaths_04-18-2020,#Deaths_04-19-2020,#Deaths_04-20-2020,#Deaths_04-21-2020,#Deaths_04-22-2020,#Deaths_04-23-2020,#Deaths_04-24-2020,#Deaths_04-25-2020,#Deaths_04-26-2020,#Deaths_04-27-2020,#Deaths_04-28-2020,#Deaths_04-29-2020,#Deaths_04-30-2020,#Deaths_05-01-2020,#Deaths_05-02-2020,#Deaths_05-03-2020
00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,89,119,0,1,4,4,6,6,6,7,35,36,36,35,34,95,35,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,27,24,44,0,0,11,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,240,0,0,0,1860,1903,1903,2030,1876,1854,1864,1944,1934,1851,1702,1634,1555,1523,1561,1520,1491,1445,1236,1359
01001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,6,6,7,7,10,10,12,12,12,12,12,12,17,17,19,19,19,23,25,25,25,25,27,28,30,32,33,36,37,37,39,40,42,42,42,45,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3
01003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,5,5,10,15,18,19,23,25,28,29,34,38,42,49,59,59,66,71,78,87,98,102,103,109,114,117,123,132,143,147,154,161,168,171,173,174,175,181,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4
01005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,7,9,10,10,9,11,13,14,15,18,20,22,28,29,30,32,33,33,35,37,37,39,42,43,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
01007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,7,7,8,9,11,11,13,16,17,17,19,23,23,26,28,32,32,33,33,34,35,38,42,42,42,42,42,42,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,5,5,5,5,6,9,10,10,10,10,10,11,12,12,13,15,16,17,18,20,20,21,22,26,29,31,31,31,34,34,34,36,37,39,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,6,8,8,8,8,9,9,11,11,11,12,12,12,12,12,12,12,13,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,6,7,8,8,11,11,13,13,14,14,15,17,19,21,28,32,34,45,51,53,65,92,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
01015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,9,9,11,12,20,21,24,38,48,52,54,54,57,60,61,62,62,63,63,66,72,80,83,85,88,89,90,90,90,92,93,93,93,98,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
01017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,10,13,15,17,27,36,36,45,67,81,87,90,96,102,140,161,171,184,200,212,216,227,234,236,240,246,257,259,270,275,282,284,285,289,290,290,290,290,294,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,5,5,5,7,8,8,8,8,8,8,8,8,9,11,11,11,11,13,16,16,17,18,18,18,19,21,21,21,21,21
01019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,4,5,6,6,6,6,7,7,7,7,9,9,9,10,11,12,12,12,12,12,12,12,12,12,14,14,15,15,15,15,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,7,8,10,11,13,14,15,15,18,20,20,22,25,27,30,30,33,33,37,37,37,39,42,43,44,46,47,49,49,51,51,52,52,52,52,54,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
01023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,4,4,4,5,6,6,6,6,7,9,10,10,12,13,13,13,14,14,17,18,21,22,25,27,32,39,39,39,43,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,9,9,10,10,13,13,15,19,19,21,22,24,24,24,24,24,24,24,24,24,25,25,27,28,31,32,34,38,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
