"countyname","fipscounty","neighborname","fipsneighbor"
"Autauga County, AL","01001","Autauga County, AL","01001"
"Autauga County, AL","01001","Chilton County, AL","01021"
"Autauga County, AL","01001","Dallas County, AL","01047"
"Autauga County, AL","01001","Elmore County, AL","01051"
"Autauga County, AL","01001","Lowndes County, AL","01085"
"Autauga County, AL","01001","Montgomery County, AL","01101"
"Baldwin County, AL","01003","Baldwin County, AL","01003"
"Baldwin County, AL","01003","Clarke County, AL","01025"
"Baldwin County, AL","01003","Escambia County, AL","01053"
"Baldwin County, AL","01003","Mobile County, AL","01097"
"Baldwin County, AL","01003","Monroe County, AL","01099"
"Baldwin County, AL","01003","Washington County, AL","01129"
"Baldwin County, AL","01003","Escambia County, FL","12033"
"Barbour County, AL","01005","Barbour County, AL","01005"
"Barbour County, AL","01005","Bullock County, AL","01011"
"Barbour County, AL","01005","Dale County, AL","01045"
"Barbour County, AL","01005","Henry County, AL","01067"
"Barbour County, AL","01005","Pike County, AL","01109"
"Barbour County, AL","01005","Russell County, AL","01113"
"Barbour County, AL","01005","Clay County, GA","13061"
"Barbour County, AL","01005","Quitman County, GA","13239"
"Barbour County, AL","01005","Stewart County, GA","13259"
"Bibb County, AL","01007","Bibb County, AL","01007"
"Bibb County, AL","01007","Chilton County, AL","01021"
"Bibb County, AL","01007","Hale County, AL","01065"
"Bibb County, AL","01007","Jefferson County, AL","01073"
"Bibb County, AL","01007","Perry County, AL","01105"
"Bibb County, AL","01007","Shelby County, AL","01117"
"Bibb County, AL","01007","Tuscaloosa County, AL","01125"
"Blount County, AL","01009","Blount County, AL","01009"
"Blount County, AL","01009","Cullman County, AL","01043"
"Blount County, AL","01009","Etowah County, AL","01055"
"Blount County, AL","01009","Jefferson County, AL","01073"
"Blount County, AL","01009","Marshall County, AL","01095"
"Blount County, AL","01009","St. Clair County, AL","01115"
"Blount County, AL","01009","Walker County, AL","01127"
"Bullock County, AL","01011","Barbour County, AL","01005"
"Bullock County, AL","01011","Bullock County, AL","01011"
"Bullock County, AL","01011","Macon County, AL","01087"
"Bullock County, AL","01011","Montgomery County, AL","01101"
"Bullock County, AL","01011","Pike County, AL","01109"
"Bullock County, AL","01011","Russell County, AL","01113"
"Butler County, AL","01013","Butler County, AL","01013"
"Butler County, AL","01013","Conecuh County, AL","01035"
"Butler County, AL","01013","Covington County, AL","01039"
"Butler County, AL","01013","Crenshaw County, AL","01041"
"Butler County, AL","01013","Lowndes County, AL","01085"
"Butler County, AL","01013","Monroe County, AL","01099"
"Butler County, AL","01013","Wilcox County, AL","01131"
"Calhoun County, AL","01015","Calhoun County, AL","01015"
"Calhoun County, AL","01015","Cherokee County, AL","01019"
"Calhoun County, AL","01015","Cleburne County, AL","01029"
"Calhoun County, AL","01015","Etowah County, AL","01055"
"Calhoun County, AL","01015","St. Clair County, AL","01115"
"Calhoun County, AL","01015","Talladega County, AL","01121"
"Chambers County, AL","01017","Chambers County, AL","01017"
"Chambers County, AL","01017","Lee County, AL","01081"
"Chambers County, AL","01017","Randolph County, AL","01111"
"Chambers County, AL","01017","Tallapoosa County, AL","01123"
"Chambers County, AL","01017","Harris County, GA","13145"
"Chambers County, AL","01017","Troup County, GA","13285"
"Cherokee County, AL","01019","Calhoun County, AL","01015"
"Cherokee County, AL","01019","Cherokee County, AL","01019"
