STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
01,001,Autauga,Alabama,54571,+32.500389,-086.494165
01,003,Baldwin,Alabama,182265,+30.548923,-087.762381
01,005,Barbour,Alabama,27457,+31.844036,-085.310038
01,007,Bibb,Alabama,22915,+33.030921,-087.127659
01,009,Blount,Alabama,57322,+33.955243,-086.591491
01,011,Bullock,Alabama,10914,+32.116327,-085.701192
01,013,Butler,Alabama,20947,+31.773539,-086.653550
01,015,Calhoun,Alabama,118572,+33.725460,-085.819442
01,017,Chambers,Alabama,34215,+32.860439,-085.266474
01,019,Cherokee,Alabama,25989,+34.179333,-085.629194
01,021,Chilton,Alabama,43643,+32.877547,-086.687406
01,023,Choctaw,Alabama,13859,+32.016562,-088.264164
01,025,Clarke,Alabama,25833,+31.685685,-087.815673
01,027,Clay,Alabama,13932,+33.272412,-085.820227
01,029,Cleburne,Alabama,14972,+33.629770,-085.494315
01,031,Coffee,Alabama,49948,+31.354433,-085.904715
01,033,Colbert,Alabama,54428,+34.723385,-087.685151
01,035,Conecuh,Alabama,13228,+31.418674,-086.996483
01,037,Coosa,Alabama,11539,+32.975932,-086.155035
01,039,Covington,Alabama,37765,+31.282449,-086.410955
01,041,Crenshaw,Alabama,13906,+31.743487,-086.297080
01,043,Cullman,Alabama,80406,+34.162362,-086.831859
01,045,Dale,Alabama,50251,+31.383346,-085.641269
01,047,Dallas,Alabama,43820,+32.408815,-087.034955
01,049,DeKalb,Alabama,71109,+34.455110,-085.817208
01,051,Elmore,Alabama,79303,+32.559652,-086.225647
01,053,Escambia,Alabama,38319,+31.088737,-087.282053
01,055,Etowah,Alabama,104430,+34.013693,-086.025393
01,057,Fayette,Alabama,17241,+33.726422,-087.770355
01,059,Franklin,Alabama,31704,+34.460481,-087.793594
01,061,Geneva,Alabama,26790,+31.094260,-085.788849
01,063,Greene,Alabama,9045,+32.830505,-087.924000
01,065,Hale,Alabama,15760,+32.775804,-087.626084
01,067,Henry,Alabama,17302,+31.478593,-085.268828
01,069,Houston,Alabama,101547,+31.204550,-085.391221
01,071,Jackson,Alabama,53227,+34.731984,-085.938698
01,073,Jefferson,Alabama,658466,+33.518601,-086.814688
01,075,Lamar,Alabama,14564,+33.762769,-088.109649
01,077,Lauderdale,Alabama,92709,+34.866179,-087.608759
01,079,Lawrence,Alabama,34339,+34.543683,-087.272414
01,081,Lee,Alabama,140247,+32.588092,-085.345833
01,083,Limestone,Alabama,82782,+34.815612,-086.938972
01,085,Lowndes,Alabama,11299,+32.162415,-086.618688
01,087,Macon,Alabama,21452,+32.425739,-085.715007
01,089,Madison,Alabama,334811,+34.746392,-086.613232
01,091,Marengo,Alabama,21027,+32.340479,-087.800648
01,093,Marion,Alabama,30776,+34.111797,-087.874300
01,095,Marshall,Alabama,93019,+34.311974,-086.293279
01,097,Mobile,Alabama,412992,+30.683993,-088.170637
01,099,Monroe,Alabama,23068,+31.505611,-087.360894
01,101,Montgomery,Alabama,229363,+32.346175,-086.243797
01,103,Morgan,Alabama,119490,+34.514252,-086.930781
01,105,Perry,Alabama,10591,+32.581066,-087.369219
01,107,Pickens,Alabama,19746,+33.292973,-088.066472
01,109,Pike,Alabama,32899,+31.787277,-085.948647
01,111,Randolph,Alabama,22913,+33.257607,-085.427266
01,113,Russell,Alabama,52947,+32.421972,-085.062843
01,115,St. Clair,Alabama,83593,+33.660628,-086.369107
01,117,Shelby,Alabama,195085,+33.290719,-086.737978
01,119,Sumter,Alabama,13763,+32.574420,-088.232646
01,121,Talladega,Alabama,82291,+33.372083,-086.169238
01,123,Tallapoosa,Alabama,41616,+32.853060,-085.864503
01,125,Tuscaloosa,Alabama,194656,+33.214154,-087.520229
01,127,Walker,Alabama,67023,+33.834858,-087.253922
01,129,Washington,Alabama,17581,+31.410368,-088.186120
01,131,Wilcox,Alabama,11670,+31.999753,-087.380407
01,133,Winston,Alabama,24484,+34.163824,-087.415693
02,013,Aleutians East,Alaska,3141,+54.860151,-162.901536
02,016,Aleutians West,Alaska,5561,+54.023571,-168.292885
02,020,Anchorage,Alaska,291826,+61.192232,-149.793182
02,050,Bethel,Alaska,17013,+60.679946,-162.151263
02,060,Bristol Bay,Alaska,997,+58.735464,-156.834047
02,068,Denali,Alaska,1826,+63.882845,-149.032949
02,070,Dillingham,Alaska,4847,+59.136256,-158.718472
02,090,Fairbanks North Star,Alaska,97581,+64.831552,-147.624018
02,100,Haines,Alaska,2508,+59.264125,-135.559897
02,105,Hoonah-Angoon,Alaska,2150,+58.078282,-135.384163
02,110,Juneau,Alaska,31275,+58.358516,-134.530605
02,122,Kenai Peninsula,Alaska,55400,+60.292592,-151.064475
02,130,Ketchikan Gateway,Alaska,13477,+55.367858,-131.678527
02,150,Kodiak Island,Alaska,13592,+57.779137,-152.460881
02,164,Lake and Peninsula,Alaska,1631,+58.557351,-156.371652
02,170,Matanuska-Susitna,Alaska,88995,+61.611281,-149.421961
02,180,Nome,Alaska,9492,+64.457026,-165.295491
02,185,North Slope,Alaska,9430,+70.522779,-154.862085
02,188,Northwest Arctic,Alaska,7523,+66.943735,-161.638185
02,195,Petersburg,Alaska,3815,+56.812712,-133.115025
02,198,Prince of Wales-Hyder,Alaska,5559,+55.448164,-132.560842
02,220,Sitka,Alaska,8881,+57.062746,-135.337171
02,230,Skagway,Alaska,968,+59.464536,-135.311501
02,240,Southeast Fairbanks,Alaska,7029,+63.856185,-144.687024
02,261,Valdez-Cordova,Alaska,9636,+61.261490,-145.882504
02,270,Wade Hampton,Alaska,7459,+62.089902,-164.314723
02,275,Wrangell,Alaska,2369,+56.385821,-132.310837
02,282,Yakutat,Alaska,662,+59.547975,-139.724878
02,290,Yukon-Koyukuk,Alaska,5588,+65.010262,-152.550423
04,001,Apache,Arizona,71518,+35.577687,-109.414840
04,003,Cochise,Arizona,131346,+31.607357,-110.063053
04,005,Coconino,Arizona,134421,+35.514426,-111.590056
04,007,Gila,Arizona,53597,+33.823560,-111.007494
04,009,Graham,Arizona,37220,+32.867330,-109.812181
04,011,Greenlee,Arizona,8437,+32.970402,-109.248712
04,012,La Paz,Arizona,20489,+33.908361,-114.172146
04,013,Maricopa,Arizona,3817117,+33.493403,-112.041430
04,015,Mohave,Arizona,200186,+35.069679,-114.249634
04,017,Navajo,Arizona,107449,+34.893625,-110.211155
04,019,Pima,Arizona,980263,+32.216707,-110.960010
04,021,Pinal,Arizona,375770,+33.060133,-111.588364
04,023,Santa Cruz,Arizona,47420,+31.434733,-110.943195
04,025,Yavapai,Arizona,211033,+34.629014,-112.267767
04,027,Yuma,Arizona,195751,+32.650040,-114.598663
05,001,Arkansas,Arkansas,19019,+34.405316,-091.461284
05,003,Ashley,Arkansas,21853,+33.179373,-091.871360
05,005,Baxter,Arkansas,41513,+36.332208,-092.383933
05,007,Benton,Arkansas,221339,+36.337348,-094.230543
05,009,Boone,Arkansas,36903,+36.267871,-093.099344
05,011,Bradley,Arkansas,11508,+33.569321,-092.103312
05,013,Calhoun,Arkansas,5368,+33.591116,-092.495555
05,015,Carroll,Arkansas,27446,+36.373069,-093.570816
05,017,Chicot,Arkansas,11800,+33.321860,-091.318378
05,019,Clark,Arkansas,22995,+34.094705,-093.124856
05,021,Clay,Arkansas,16083,+36.370695,-090.372418
05,023,Cleburne,Arkansas,25970,+35.510232,-092.037481
05,025,Cleveland,Arkansas,8689,+33.914989,-092.139146
05,027,Columbia,Arkansas,24552,+33.258045,-093.247459
05,029,Conway,Arkansas,21273,+35.214487,-092.704160
05,031,Craighead,Arkansas,96443,+35.835235,-090.669325
05,033,Crawford,Arkansas,61948,+35.496882,-094.284360
05,035,Crittenden,Arkansas,50902,+35.177360,-090.217261
05,037,Cross,Arkansas,17870,+35.252833,-090.775307
05,039,Dallas,Arkansas,8116,+33.869213,-092.527123
05,041,Desha,Arkansas,13008,+33.773838,-091.417485
05,043,Drew,Arkansas,18509,+33.627400,-091.781779
05,045,Faulkner,Arkansas,113237,+35.104918,-092.405359
05,047,Franklin,Arkansas,18125,+35.446102,-093.885464
05,049,Fulton,Arkansas,12245,+36.376787,-091.764934
05,051,Garland,Arkansas,96024,+34.505811,-093.081852
05,053,Grant,Arkansas,17853,+34.309174,-092.412714
05,055,Greene,Arkansas,42090,+36.073120,-090.523016
