,state,public_health,phone_number
0,AL,Autauga County Health Department,13343613743
1,AL,Baldwin County Health Department,12519376935
2,AL,Barbour County Health Department,13346874808
3,AL,Bibb County Health Department,12059269702
4,AL,Blount County Health Department,12052742120
5,AL,Bullock County Health Department,13347383030
6,AL,Butler County Health Department,13343823154
7,AL,Calhoun County Health Department,12562377523
8,AL,Chambers County Health Department,13347560758
9,AL,Cherokee County Health Department,12569273132
10,AL,"301 Health Center DrClanton, AL 35045-2349",12057551287
11,AL,Choctaw County Health Department,12054594026
12,AL,Clarke County Health Department,12512754177
13,AL,Clay County Health Department,12563966421
14,AL,Cleburne County Health Department,12564632296
15,AL,Coffee County Health Department,13343479574
16,AL,Colbert County Health Department,12563831231
17,AL,Conecuh County Health Department,12515781952
18,AL,Coosa County Health Department,12563774364
19,AL,Covington Health Department,13342221175
20,AL,Crenshaw County Health Department,13343352471
21,AL,Cullman County Health Department,12567341030
22,AL,Dale County Health Department,13345662860
23,AL,Dallas County Health Department,13348722323
24,AL,DeKalb County Health Department,12568451931
25,AL,East Central District - Alabama Public Health,13342936400
26,AL,Elmore County Health Department,13345671171
27,AL,Escambia County Health Department,12518675765
28,AL,Etowah County Health Department,12565476311
29,AL,Fayette County Health Department,12059325260
30,AL,Franklin County Health Department,12563322700
31,AL,Geneva County Health Department,13346842256
32,AL,Greene County Health Department,12053729361
33,AL,Hale County Health Department,13346243018
34,AL,Henry County Health Department,13345852660
35,AL,Houston County Health Department,13346782800
36,AL,Jackson County Health Department,12562594161
37,AL,Jefferson County Department of Health/Alabama Public Health Jefferson District,12059339110
38,AL,Lamar County Health Department,12056959195
39,AL,Lauderdale County Health Department,12567647453
40,AL,Lawrence County Health Department,12569741141
41,AL,Lee County Health Department,13347455765
42,AL,Limestone County Health Department,12562323200
43,AL,Lowndes County Health Department,13345482564
44,AL,Macon County Health Department,13347271800
45,AL,Madison County Health Department,12565393711
46,AL,Marengo County Health Department,13342954205
47,AL,Marion County Health Department,12059213118
48,AL,Marshall County Health Department,12565823174
49,AL,Mobile County Health Department/Mobile County Health District,12516908827
50,AL,Monroe County Health Department,12515752980
51,AL,Montgomery County Health Department,13342936400
52,AL,Morgan County Health Department,12563537021
53,AL,Northeastern District - Alabama Public Health,12565476311
54,AL,Northern District - Alabama Public Health,12563402113
55,AL,Perry County Health Department,13346836153
56,AL,Pickens County Health Department,12053678157
57,AL,Pike County Health Department,13345662860
58,AL,Randolph County Health Department,13348638981
59,AL,Russell County Health Department,13342970251
60,AL,Shelby County Department of Health,12056642470
61,AL,Southeastern District - Alabama Public Health,13347929070
62,AL,Southwestern District - Alabama Public Health,12519471645
63,AL,St. Clair County Health Department,12053383357
64,AL,Sumter County Health Department,12056527972
65,AL,Talladega County Health Department,12563622593
66,AL,Tallapoosa County Health Department,12563290531
67,AL,Tuscaloosa County Health Department,12055626900
68,AL,Walker County Health Department,12052219775
69,AL,Washington County Health Department,12518472257
70,AL,West Central District - Alabama Public Health,12055544500
71,AL,Wilcox County Health Department,13346824515
72,AL,Winston County Health Department,12054892101
73,AK,Anchorage Health Department ,19073436718
74,AK,Cordova Public Health Center South Central Region,19074244547
75,AK,Craig Public Health Center,19078263433
76,AK,Delta Junction Public Health Center,19078954292
77,AK,Dillingham Public Health Center,19078425981
78,AK,Fairbanks Regional Public Health Center Interior Region,19074521776
