Name,FID,City,State
VIRTUA HEALTH AND REHAB CENTER AT MT HOLLY,11525,MT HOLLY,NJ
FOREST MANOR HEALTH CARE CENTER,8624,BLAIRSTOWN,NJ
PARKER JEWISH INSTITUTE FOR HEALTH CARE AND REHAB,6497,QUEENS,NY
RIDERWOOD ASSISTED LIVING FACILITY,21060,CALVERTON,MD
MANATEE SPRINGS REHAB AND NURSING CENTER,28526,EAST BRADENTON,FL
WILLOW CREEK REHAB AND CARE CENTER,25381,FRANKLIN,NJ
CRYSTAL LAKE REHAB AND HEALTH CARE CENTER,3635,BERKELEY,NJ
CREST POINTE REHAB AND HEALTH CARE CENTER,720,POINT PLEASANT,NJ
ABINGDON CARE AND REHAB CENTER,26376,MIDDLEBROOK,NJ
LYONS CAMPUS OF THE VA NEW JERSEY HEALTH CARE SYSTEM,-999,LYONS,NJ
BRAKLEY PARK SENIOR CARE FACILITY,24419,LOPATCONG,NJ
ST JOSEPHS SKILLED NURSING CENTER,20476,LAWRENCE,NJ
BERKSHIRE PLACE NURSING AND REHAB CENTER,-999,PITTSFIELD,RI
MAPLE GLEN CENTER NURSING HOME,7657,FAIR LAWN,NJ
FOX HILL CENTER NURSING HOME,31159,VERNON,CT
BOSTICK NURSING CENTER,-999,MILLEDGEVILLE,GA
MEDILODGE OF ALPENA NURSING HOME,-999,ALPENA,MI
FOUR FOUNTAINS NURSING HOME,22223,BELLEVILLE,IL
MIDLANDS HEALTH AND REHAB CENTER,24861,COLUMBIA,SC
WINDSOR HEALTH AND REHAB CENTER,31349,WINDSOR,CT
MERCERVILLE CENTER NURSING HOME,21426,HAMILTON,NJ
GREEN BROOK REGIONAL GERIATRIC CENTER,-999,GREEN BROOK,NJ
CLOVER MEADOWS HEALTH CARE AND REHAB CENTER,24395,LAWRENCEVILLE,NJ
WHISPERING PINES REHAB AND NURSING CENTER,31295,EAST HAVEN,CT
SANDY SPRINGS HEALTH AND REHAB CENTER,29452,ATLANTA,GA
LOCH RAVEN CENTER NURSING HOME,20436,PARKVILLE,MD
QUINNIPIAC VALLEY CENTER NURSING HOME,31276,WALLINGFORD,CT
REGENCY CANYON LAKES REHAB AND NURSING,-999,KENNEWICK,WA
ACCORDIUS HEALTH NURSING HOME,8001,HARRISONBURG,VA
CASSENA CARE NURSING HOME,31369,STAMFORD,CT
HACKENSACK MERIDIAN HEALTH NURSING AND REHAB,20489,HACKENSACK,NJ
HARBORVIEW HEALTH SYSTEMS NURSING HOME,-999,THOMASTON,GA
BROTHER BONAVENTURE EXTENDED CARE AND REHAB CENTER,14493,ELIZABETH,NJ
LAKESIDE HEALTH AND WELLNESS SUITES NURSING HOME,11983,RENO,NV
SKYVIEW SPRINGS REHAB AND NURSING CENTER,22828,LURAY,VA
GREER REHAB AND HEALTH CARE CENTER,7129,GREER,SC
SAINT JOSEPHS HEALTH CARE AND REHAB CENTER,23468,CEDAR GROVE,NJ
COMPLETE CARE AT LAURELTON REHAB FACILITY,22441,BRICK,NJ
SOLDIERS HOME IN HOLYOKE VETERANS CENTER AND HOSPITAL,-999,HOLYOKE,MA
SOUTH MOUNTAIN HEALTH CARE AND REHAB CENTER,21445,UNION,NJ
CAMBRIDGE REHAB AND HEALTH CARE CENTER,11522,MOORESTOWN,NJ
SYMPHONY OF MORGAN PARK REHABILLITATION CENTER,18257,CHICAGO,IL
THE PHOENIX AT LAKE LANIER ASSISTED LIVING FACILITY,27661,GAINESVILLE,GA
UPTOWN HEALTH CENTER REHAB CENTER,20203,CHICAGO,IL
THE MOSAIC OF LAKESHORE REHAB FACILITY,19248,CHICAGO,IL
ORCHARD PARK HEALTH CARE CENTER,9161,CENTENNIAL,CO
STILLWATER ASSISTED LIVING AND SKILLED NURSING,-999,GREENVILLE,RI
PREMIER HEALTH AND REHAB CENTER,9153,LAS VEGAS,NV
ELEVATE CARE CHICAGO NORTH REHAB CENTER,5419,CHICAGO,IL
RIVERBEND POST ACUTE REHAB,26900,KANSAS CITY,KS
SAMARITAN MANOR REHAB AND SKILLED NURSING,31453,DETROIT,MI
CANTERBURY REHAB AND HEALTH CARE,22826,RICHMOND,VA
MONTROSE HEALTH CENTER NURSING HOME,32307,GLENDALE,CA
CARLYLE SENIOR CARE,12916,FLORENCE,SC
TRANSITIONS HEALTH CARE CAPITOL CITY REHAB FACILITY,217,WASHINGTON,DC
MADO HEALTH CARE UPTOWN NURSING HOME,30541,CHICAGO,IL
CUMBERLAND HEALTH CARE CENTER,16198,CUMBERLAND,MD
SYMPHONY AT MIDWAY REHABILLITATION CENTER,25183,CHICAGO,IL
TALLAHASSEE DEVELOPMENTAL CENTER INTERMEDIATE CARE FACILITY,-999,TALLAHASSEE,FL
MANOR PINES CONVALESCENT CENTER,1523,FORT LAUDERDALE,FL
FOUNTAIN MANOR HEALTH AND REHAB CENTER,5574,MIAMI,FL
PARKER AT SOMERSET NURSING HOME,11820,SOMERSET,NJ
BEACON CARE CENTER NURSING HOME,4455,CHICAGO,IL
SYMPHONY LINCOLN PARK NURSING HOME,30936,CHICAGO,IL
COMPLETE CARE AT BEY LEA REHAB FACILITY,20479,TOMS RIVER,NJ
ATRIA CRANFORD ASSISTED LIVING,-999,CRANFORD,NJ
FAMILY OF CARING AT RIDGEWOOD NURSING HOME,14497,RIDGEWOOD,NJ
CROWNE HEALTH CARE NURSING HOME,5101,MOBILE,AL
