Facility Name_x	County Name_x	City_x	State_x	ICU Beds	Total Beds	Total Employees	Hospital Type	Street Address 1	Mortality national comparison	Phone Number	Urban or Rural Designation	TIN		Facility Name	Number to Call (NTC)	Donation Phone Number	Donation Email	Type (donation)	Notes
Lenox Hill Hospital	New York County, NY	New York	NY	24	449	5287	Acute Care Hospitals	100 E 77th St	Above the national average	(212) 439-2345	Rural	131624070	1	Lenox Hill Hospital	(212) 439-2345				NTC not in service
NYC Health + Hospitals Bellevue	New York County, NY	New York	NY	45	912	4179	Acute Care Hospitals	462 1st Ave	Same as the national average	(212) 562-4141	Urban	132655001	2	NYC Health + Hospitals Bellevue	(212) 562-4141		bellevuecommandcenter@nychhc.org	donation	
The Mount Sinai Hospital	New York County, NY	New York	NY	75	1161	11256	Acute Care Hospitals	1 Gustave L Levy Pl	Above the national average	(212) 241-7981	Urban	131624096	3	The Mount Sinai Hospital	(212) 241-7981		donations@mountsinai.org	donation	number to call is actually 2122416500
NYC Health + Hospitals Harlem	New York County, NY	New York	NY	17	282	2126	Acute Care Hospitals	506 Malcolm X Blvd	Same as the national average	(212) 939-1000	Urban	132655001	4	NYC Health + Hospitals Harlem	(212) 939-1000		philipcooke@nychhc.org	donation	
NewYork-Presbyterian, Lower Manhattan Hospital	New York County, NY	New York	NY	20	132	1121	NA	170 William Street	NA	NA	Urban	133049852	5	NewYork-Presbyterian, Lower Manhattan Hospital	(212) 312-5000				very hard to navigate
NYC Health + Hospitals Metropolitan	New York County, NY	New York	NY	24	338	1596	Acute Care Hospitals	1901 1st Ave	Not Available	(212) 423-6262	Urban	132655001	6	NYC Health + Hospitals Metropolitan	(212) 423-6262	2124236128	metropolitan.auxilary@nychhc.org	donation	
Memorial Sloan-Kettering Cancer Center	New York County, NY	New York	NY	25	498	13856	NA	1275 York Ave	NA	NA	Urban	131624082	7	Memorial Sloan-Kettering Cancer Center	(212) 639-2000	6462273549	devgads@mskcc.org	donation/gift services	
Mount Sinai Morningside	New York County, NY	New York	NY	57	783	5706	Acute Care Hospitals	1000 10th Ave	Above the national average	(212) 523-4000	Rural	132997301	8	Mount Sinai Morningside	(212) 523-4000				respitory director will call back @ 5103168658
NYU Langone Tisch Hospital	New York County, NY	New York	NY	228	1629	16151	Acute Care Hospitals	160 E 34th St	Above the national average	(212) 263-7300	Urban	133971298	9	NYU Langone Tisch Hospital	(212) 263-7300		covid19relief@nyulangone.org	donation	
Mount Sinai Beth Israel Medical Center	New York County, NY	New York	NY	28	554	4672	Acute Care Hospitals	First Avenue And 16th Street	Above the national average	(212) 420-2000	Rural	135564934	10	Mount Sinai Beth Israel Medical Center	(212) 420-2000		donations@mountsinai.org	donation	
New York Presbyterian/Weill Cornell Medical Center	New York County, NY	New York	NY	290	2650	26491	Acute Care Hospitals	525 E 68th St	Above the national average	(212) 746-5454	Rural	133957095	11	New York Presbyterian/Weill Cornell Medical Center	(212) 746-5454		donate@nyp.org	donation	
University of Washington Medical Center-Northwest	King County, WA	Seattle	WA	32	206	1467	Acute Care Hospitals	1550 North 115th Street	Same as the national average	(206) 368-1700	Urban	910637400	12	University of Washington Medical Center-Northwest	(206) 368-1700				Donation website: https://online.gifts.washington.edu/peer2peer/Campaign/heroes Also new number is: 2066681700 
Virginia Mason Hospital and Seattle Medical Center	King County, WA	Seattle	WA	28	246	4723	Acute Care Hospitals	925 Seneca St	Above the national average	(206) 223-6600	Urban	910565539	13	Virginia Mason Hospital and Seattle Medical Center	(206) 223-6600	2065836083		donation	
Harborview Medical Center	King County, WA	Seattle	WA	89	413	4194	Acute Care Hospitals	325 9th Ave	Same as the national average	(206) 731-3000	Urban	911631806	14	Harborview Medical Center	(206) 731-3000				They will call me back 5109262613
University of Washington Medical Center-Montlake	King County, WA	Seattle	WA	81	442	4343	Acute Care Hospitals	1959 Ne Pacific St	Same as the national average	(206) 598-3300	Urban	916001537	15	University of Washington Medical Center-Montlake	(206) 598-3300				Donation website: https://www.uwmc.org/civicrm/contribute/transact?reset=1&id=8
