dataset,feature
ahrf_health,countyFIPS
ahrf_health,State
ahrf_health,State Name
ahrf_health,County Name
ahrf_health,CensusRegionCode
ahrf_health,CensusRegionName
ahrf_health,CensusDivisionCode
ahrf_health,CensusDivisionName
ahrf_health,FederalRegionCode
ahrf_health,SSABeneficiaryCode
ahrf_health,CoreBasedStatAreaCode(CBSA)Metropolitan/Micropolitan2018
ahrf_health,CoreBasedStatAreaName(CBSA)Metropolitan/Micropolitan2018
ahrf_health,"CBSAIndicatorCode0=Not,1=Metro,2=Micro2018"
ahrf_health,CBSACountyStatusCentralorOutlying2018
ahrf_health,MetropolitanDivisionCode2018
ahrf_health,MetropolitanDivisionName2018
ahrf_health,CombinedStatisticalAreaCode2018
ahrf_health,CombinedStatisticalAreaName2018
ahrf_health,Rural-UrbanContinuumCode2013
ahrf_health,UrbanInfluenceCode2013
ahrf_health,Economic-DependntTypologyCode2015
ahrf_health,Farming-DependentTypologyCode2015
ahrf_health,Mining-DependentTypologyCode2015
ahrf_health,Manufacturing-DepTypologyCode2015
ahrf_health,Fed/StGovt-DepdntTypolgyCodeFederal/StateGovernment2015
ahrf_health,RecreationTypolpgyCode2015
ahrf_health,Nonspecializd-DepTypologyCode2015
ahrf_health,LowEducationTypologyCode2015
ahrf_health,LowEmploymentTypologyCode2015
ahrf_health,HighPovertyTypologyCode2014
ahrf_health,PersistentPovrtyTypologyCode2014
ahrf_health,PersistentChildPovTypolCodeRelatedChildren2015
ahrf_health,PopulationLossTypologyCode2015
ahrf_health,RetirementDestnatnTyplgyCode2015
ahrf_health,BEAEconomicAreaCode2004
ahrf_health,BEAComponentEconomcAreaCode2004
ahrf_health,BEAEconomicAreaName2004
ahrf_health,BEAComponentEconomcAreaName2004
ahrf_health,"HPSACode-PrimaryCare05/191=Whole,2=PartCounty2019"
ahrf_health,"HPSACode-PrimaryCare05/181=Whole,2=PartCounty2018"
ahrf_health,"HPSACode-PrimaryCare05/171=Whole,2=PartCounty2017"
ahrf_health,"HPSACode-PrimaryCare05/161=Whole,2=PartCounty2016"
ahrf_health,"HPSACode-PrimaryCare06/151=Whole,2=PartCounty2015"
ahrf_health,"HPSACode-PrimaryCare12/101=Whole,2=PartCounty2010"
ahrf_health,"HPSACode-Dentists05/191=Whole,2=PartCounty2019"
ahrf_health,"HPSACode-Dentists05/181=Whole,2=PartCounty2018"
ahrf_health,"HPSACode-Dentists05/171=Whole,2=PartCounty2017"
ahrf_health,"HPSACode-Dentists05/161=Whole,2=PartCounty2016"
ahrf_health,"HPSACode-Dentists06/151=Whole,2=PartCounty2015"
ahrf_health,"HPSACode-Dentists12/101=Whole,2=PartCounty2010"
ahrf_health,"HPSACode-MentalHealth05/191=Whole,2=PartCounty2019"
ahrf_health,"HPSACode-MentalHealth05/181=Whole,2=PartCounty2018"
ahrf_health,"HPSACode-MentalHealth05/171=Whole,2=PartCounty2017"
ahrf_health,"HPSACode-MentalHealth05/161=Whole,2=PartCounty2016"
